user_id,timestamp,amount,category,balance
USER_0000,2026-06-01,-145.22606958923188,discretionary,4854.773930410768
USER_0000,2026-06-02,-504.63332099096783,discretionary,4350.1406094198
USER_0000,2026-06-03,-27.531315923085728,discretionary,4322.609293496715
USER_0000,2026-06-04,-352.23203483709165,discretionary,3970.377258659623
USER_0000,2026-06-05,-254.37621670766762,discretionary,3716.0010419519554
USER_0000,2026-06-06,-334.3704780503921,discretionary,3381.630563901563
USER_0000,2026-06-07,-262.3957253852417,discretionary,3119.2348385163214
USER_0000,2026-06-08,-231.9498608533553,discretionary,2887.284977662966
USER_0000,2026-06-09,-218.17076855946516,discretionary,2669.114209103501
USER_0000,2026-06-10,-619.9321828148579,discretionary,2049.182026288643
USER_0000,2026-06-11,-239.3929927106892,discretionary,1809.789033577954
USER_0000,2026-06-12,-155.69634046547057,discretionary,1654.0926931124834
USER_0000,2026-06-13,-239.7023676651845,discretionary,1414.390325447299
USER_0000,2026-06-14,-156.49527689120904,discretionary,1257.89504855609
USER_0000,2026-06-15,-474.0146176808374,discretionary,783.8804308752526
USER_0000,2026-06-16,-465.22160061521384,discretionary,318.65883026003877
USER_0000,2026-06-17,-146.11339595780922,discretionary,172.54543430222955
USER_0000,2026-06-18,-614.7898353289887,discretionary,-442.2444010267592
USER_0000,2026-06-19,-119.10014055759713,discretionary,-561.3445415843563
USER_0000,2026-06-20,-105.9198420802839,discretionary,-667.2643836646403
USER_0000,2026-06-21,-459.73175967174683,discretionary,-1126.9961433363871
USER_0000,2026-06-22,-520.904531246409,discretionary,-1647.900674582796
USER_0000,2026-06-23,-111.99062542682545,discretionary,-1759.8913000096215
USER_0000,2026-06-24,-300.3483970710692,discretionary,-2060.239697080691
USER_0000,2026-06-25,-275.9961897790223,discretionary,-2336.235886859713
USER_0000,2026-06-26,-389.39558715923386,discretionary,-2725.631474018947
USER_0000,2026-06-27,-366.9776680173533,discretionary,-3092.6091420363
USER_0000,2026-06-28,20000.0,income_salary,16907.3908579637
USER_0000,2026-06-28,-333.8822683648364,discretionary,16573.508589598863
USER_0000,2026-06-29,-258.75962855264527,discretionary,16314.748961046218
USER_0000,2026-06-30,-159.16618592539928,discretionary,16155.582775120818
USER_0000,2026-07-01,-5906.756195871126,fixed_rent,10248.826579249693
USER_0000,2026-07-01,-199.8256230716773,discretionary,10049.000956178015
USER_0000,2026-07-02,-328.75862698687143,discretionary,9720.242329191144
USER_0000,2026-07-03,-445.56552765388886,discretionary,9274.676801537255
USER_0000,2026-07-04,-400.68463305241994,discretionary,8873.992168484834
USER_0000,2026-07-05,-235.70666491729415,discretionary,8638.28550356754
USER_0000,2026-07-06,-199.17537682842962,discretionary,8439.110126739111
USER_0000,2026-07-07,-779.062460522076,discretionary,7660.047666217035
USER_0000,2026-07-08,-142.81215761720375,discretionary,7517.2355085998315
USER_0000,2026-07-09,-361.537945197543,discretionary,7155.697563402288
USER_0000,2026-07-10,-319.8146027055079,discretionary,6835.88296069678
