user_id,timestamp,category,amount,balance,days_to_payday,fixed_due_in_7d,is_weekend
USER_0000,2026-06-01,food_daily,-420.48,4579.515740912247,27,1,0
USER_0000,2026-06-02,food_daily,-264.33,4315.186641145255,26,1,0
USER_0000,2026-06-03,food_daily,-362.38,3952.804753013426,25,0,0
USER_0000,2026-06-04,food_daily,-278.4,3674.4003319799017,24,0,0
USER_0000,2026-06-05,utilities,-1611.45,2062.951570770493,23,0,0
USER_0000,2026-06-05,food_daily,-399.67,1663.2812392854396,23,0,0
USER_0000,2026-06-06,food_daily,-198.25,1465.0267921169805,22,0,1
USER_0000,2026-06-06,entertainment,-1621.29,-156.2591083535392,22,0,1
USER_0000,2026-06-07,food_daily,-274.04,-430.3025288797331,21,0,1
USER_0000,2026-06-08,food_daily,-404.08,-834.3805033490867,20,0,0
USER_0000,2026-06-09,food_daily,-287.6,-1121.9803658445699,19,0,0
USER_0000,2026-06-10,food_daily,-303.82,-1425.8052258442897,18,0,0
USER_0000,2026-06-11,food_daily,-210.25,-1636.054804125993,17,0,0
USER_0000,2026-06-12,food_daily,-354.28,-1990.330586324126,16,0,0
USER_0000,2026-06-13,food_daily,-342.52,-2332.8498201131756,15,0,1
USER_0000,2026-06-14,food_daily,-285.23,-2618.0749036671764,14,0,1
USER_0000,2026-06-14,entertainment,-1675.42,-4293.494154219903,14,0,1
USER_0000,2026-06-15,food_daily,-354.3,-4647.796423244391,13,0,0
USER_0000,2026-06-16,food_daily,-294.13,-4941.928545749112,12,0,0
USER_0000,2026-06-17,food_daily,-418.51,-5360.4371572403,11,0,0
USER_0000,2026-06-18,food_daily,-404.69,-5765.1310970523045,10,0,0
USER_0000,2026-06-19,food_daily,-277.69,-6042.824407545767,9,0,0
USER_0000,2026-06-20,food_daily,-380.03,-6422.856925952835,8,0,1
USER_0000,2026-06-20,entertainment,-1099.02,-7521.873030376628,8,0,1
USER_0000,2026-06-21,food_daily,-331.24,-7853.1143010557835,7,0,1
USER_0000,2026-06-21,entertainment,-527.41,-8380.5257369586,7,0,1
USER_0000,2026-06-22,food_daily,-366.11,-8746.633228913392,6,0,0
USER_0000,2026-06-23,food_daily,-405.84,-9152.472644223313,5,0,0
USER_0000,2026-06-24,food_daily,-325.91,-9478.387583421683,4,0,0
